year,direction,country,value_usd
2010,Imports,ROMANIA,11340
2010,Imports,PACIFIC TRUST TERRITORY,9565
2010,Imports,ICELAND,2534
2010,Imports,SLOVENIA,1888
2010,Imports,PARAGUAY,1775
2010,Imports,ARGENTINA,1272
2010,Imports,UKRAINE (UKRAINIAN S.S.R.),509
2010,Imports,SRI LANKA (CEYLON),366
2010,Imports,GREECE,196
2011,Exports,SINGAPORE,1336931319
2011,Exports,HONG KONG,1259509552
2011,Exports,JAPAN,1009462422
2011,Exports,CHINA,800829816
2011,Exports,UNITED STATES,747420338
2011,Exports,TAIWAN,516534048
2011,Exports,"KOREA, REP. (SOUTH)",483260980
2011,Exports,NETHERLANDS,458697648
2011,Exports,GERMANY,362402135
2011,Exports,FRANCE,267121741
2011,Exports,MALAYSIA,125142017
2011,Exports,THAILAND,95328368
2011,Exports,INDIA,78231755
2011,Exports,AUSTRIA,63409370
2011,Exports,VIETNAM,62046031
2011,Exports,HUNGARY,56884591
2011,Exports,MEXICO,55572564
2011,Exports,ITALY,52469094
2011,Exports,SWITZERLAND,40792886
2011,Exports,CANADA,24913931
2011,Exports,INDONESIA,17568309
2011,Exports,UNITED KINGDOM,17054563
2011,Exports,CZECH REPUBLIC,14413830
2011,Exports,BELGIUM,12826978
2011,Exports,SWEDEN,11968583
2011,Exports,AUSTRALIA,11495647
2011,Exports,BRAZIL,8693134
2011,Exports,SPAIN,8038198
2011,Exports,ISRAEL,3454587
2011,Exports,"SOUTH AFRICA, REP. OF",2948176
2011,Exports,TURKEY,2708857
2011,Exports,GREECE,2539541
2011,Exports,NORWAY,1849340
2011,Exports,ROMANIA,1819055
2011,Exports,LEBANON,1420540
2011,Exports,POLAND,1203456
2011,Exports,FRENCH POLYNESIA,1157995
2011,Exports,ESTONIA,1082160
2011,Exports,PORTUGAL,1065367
2011,Exports,FINLAND,579763
2011,Exports,TUNISIA,377872
2011,Exports,MALTA,304673
2011,Exports,MOROCCO,303268
2011,Exports,IRELAND,298238
2011,Exports,ARGENTINA,273989
2011,Exports,SLOVAKIA,234747
2011,Exports,CYPRUS,216431
2011,Exports,UNITED ARAB EMIRATES,145765
2011,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),117434
2011,Exports,BULGARIA,107458
2011,Exports,COLOMBIA,96074
2011,Exports,DENMARK,96070
2011,Exports,RUSSIA,81480
2011,Exports,GEORGIA,31671
2011,Exports,NIGER,22241
