year,direction,country,mineral_type,value_usd
2008,Exports,UNITED KINGDOM,"Lead, zinc & tin (78-80)",774380
2008,Exports,MACAU,Copper (74),750531
2008,Exports,CANADA,Metal ores & concentrates (26),671380
2008,Exports,SINGAPORE,"Lead, zinc & tin (78-80)",654204
2008,Exports,VIETNAM,Mineral fuels (27),631576
2008,Exports,SINGAPORE,"Salt, stone & earths (25)",628730
2008,Exports,INDONESIA,"Salt, stone & earths (25)",567225
2008,Exports,SRI LANKA (CEYLON),"Salt, stone & earths (25)",547761
2008,Exports,INDIA,"Lead, zinc & tin (78-80)",547578
2008,Exports,THAILAND,"Salt, stone & earths (25)",504254
2008,Exports,UNITED STATES,"Salt, stone & earths (25)",489004
2008,Exports,GHANA,"Salt, stone & earths (25)",484500
2008,Exports,HONG KONG,"Salt, stone & earths (25)",472608
2008,Exports,THAILAND,Gold (7108),390170
2008,Exports,GERMANY,Gold (7108),365787
2008,Exports,TAIWAN,Metal ores & concentrates (26),339945
2008,Exports,BELGIUM,Metal ores & concentrates (26),336377
2008,Exports,"KOREA, REP. (SOUTH)",Gold (7108),321476
2008,Exports,AUSTRALIA,Copper (74),306560
2008,Exports,CHINA,"Lead, zinc & tin (78-80)",236846
2008,Exports,INDIA,Copper (74),204974
2008,Exports,"PALAU, REP. OF","Salt, stone & earths (25)",202464
2008,Exports,PACIFIC TRUST TERRITORY,"Salt, stone & earths (25)",148219
2008,Exports,"MICRONESIA, FEDERATED STATES OF","Salt, stone & earths (25)",143767
2008,Exports,NEW CALEDONIA,"Salt, stone & earths (25)",120960
2008,Exports,SINGAPORE,Metal ores & concentrates (26),110630
2008,Exports,INDIA,"Salt, stone & earths (25)",104750
2008,Exports,GERMANY,"Salt, stone & earths (25)",92934
2008,Exports,UNITED STATES,Metal ores & concentrates (26),89461
2008,Exports,AUSTRALIA,"Lead, zinc & tin (78-80)",78569
2008,Exports,DOMINICAN REPUBLIC,"Lead, zinc & tin (78-80)",74800
2008,Exports,THAILAND,Metal ores & concentrates (26),73952
2008,Exports,NETHERLANDS,"Salt, stone & earths (25)",69165
2008,Exports,FRANCE,"Salt, stone & earths (25)",56150
2008,Exports,NETHERLANDS,"Lead, zinc & tin (78-80)",54609
2008,Exports,UNITED KINGDOM,"Salt, stone & earths (25)",53714
2008,Exports,MALAYSIA,Metal ores & concentrates (26),53473
2008,Exports,UNITED STATES,"Lead, zinc & tin (78-80)",52190
2008,Exports,SINGAPORE,Gold (7108),50836
2008,Exports,BELGIUM,"Salt, stone & earths (25)",50237
2008,Exports,IRAN,Metal ores & concentrates (26),50000
2008,Exports,NETHERLANDS,Copper (74),49064
2008,Exports,ITALY,Gold (7108),45322
2008,Exports,JAPAN,Nickel (75),44051
2008,Exports,HONG KONG,"Lead, zinc & tin (78-80)",43027
