Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
..NATIONAL CAPITAL REGION (NCR),Major tools and equipment (D),0.00000732
..NATIONAL CAPITAL REGION (NCR),Small tools and miscellaneous accessories (SD),0.00000732
..NATIONAL CAPITAL REGION (NCR),GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.06365133
..NATIONAL CAPITAL REGION (NCR),Non-durable household goods (ND),0.06361455
..NATIONAL CAPITAL REGION (NCR),Domestic services and household services (S),0.00003678
..NATIONAL CAPITAL REGION (NCR),HEALTH,0.05218159
..NATIONAL CAPITAL REGION (NCR),"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",0.02918824
..NATIONAL CAPITAL REGION (NCR),Pharmaceutical Products (ND),0.02849593
..NATIONAL CAPITAL REGION (NCR),Other medical products (ND),0.00057153
..NATIONAL CAPITAL REGION (NCR),Therapeutic appliances and equipment (D),0.00012078
..NATIONAL CAPITAL REGION (NCR),OUTPATIENT SERVICES,0.01201667
..NATIONAL CAPITAL REGION (NCR),Medical services,0.00930776
..NATIONAL CAPITAL REGION (NCR),Dental services (S),0.00024841
..NATIONAL CAPITAL REGION (NCR),Paramedical services (S),0.00246050
..NATIONAL CAPITAL REGION (NCR),HOSPITAL SERVICES,0.01097668
..NATIONAL CAPITAL REGION (NCR),Hospital services (In-Patient Services),0.01097668
..NATIONAL CAPITAL REGION (NCR),TRANSPORT,0.17496452
..NATIONAL CAPITAL REGION (NCR),Purchase of vehicles,0.00070310
..NATIONAL CAPITAL REGION (NCR),Motorcycle,..
..NATIONAL CAPITAL REGION (NCR),Bicycle and tricycle,0.00070310
..NATIONAL CAPITAL REGION (NCR),OPERATION OF PERSONAL TRANSPORT EQUIPMENT,0.01349321
..NATIONAL CAPITAL REGION (NCR),Spare parts and accessories for personal transport equipment (SD),0.00013781
..NATIONAL CAPITAL REGION (NCR),Fuel and lubricants for personal transport equipment (ND),0.01252145
..NATIONAL CAPITAL REGION (NCR),Maintenance and repair of personal transport equipment (S),0.00018398
..NATIONAL CAPITAL REGION (NCR),Other services with respect of personal transport equipment (S),0.00064997
..NATIONAL CAPITAL REGION (NCR),TRANSPORT SERVICES,0.16076821
..NATIONAL CAPITAL REGION (NCR),Passenger transport by railway,0.00231429
..NATIONAL CAPITAL REGION (NCR),Passenger transport by road,0.15814997
..NATIONAL CAPITAL REGION (NCR),Passenger transport by air,..
..NATIONAL CAPITAL REGION (NCR),Passenger transport by sea and inland waterway,0.00030395
..NATIONAL CAPITAL REGION (NCR),COMMUNICATION,0.04512373
..NATIONAL CAPITAL REGION (NCR),POSTAL SERVICES,..
..NATIONAL CAPITAL REGION (NCR),Postal services (S),..
..NATIONAL CAPITAL REGION (NCR),TELEPHONE AND TELEFAX EQUIPMENT,0.00434636
..NATIONAL CAPITAL REGION (NCR),Telephone and telefax equipment (S),0.00434636
..NATIONAL CAPITAL REGION (NCR),TELEPHONE AND TELEFAX SERVICES,0.04077737
..NATIONAL CAPITAL REGION (NCR),Telephone and telefax services (S),0.04077737
..NATIONAL CAPITAL REGION (NCR),RECREATION AND CULTURE,0.02379056
..NATIONAL CAPITAL REGION (NCR),AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.00395361
..NATIONAL CAPITAL REGION (NCR),"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.00376407
..NATIONAL CAPITAL REGION (NCR),Photographic and cinematographic equipment and optical instruments (D),..
..NATIONAL CAPITAL REGION (NCR),Information processing equipment (D),0.00006116
..NATIONAL CAPITAL REGION (NCR),Recording media (SD),0.00012838
..NATIONAL CAPITAL REGION (NCR),"Repair of audio-visual, photographic and information processing equipment (S)",..
..NATIONAL CAPITAL REGION (NCR),OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,..
..NATIONAL CAPITAL REGION (NCR),Musical instruments and major durables for indoor recreation (D),..
..NATIONAL CAPITAL REGION (NCR),"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.00202469
..NATIONAL CAPITAL REGION (NCR),"Games, toys and hobbies (SD)",0.00143424
..NATIONAL CAPITAL REGION (NCR),"Equipment for sport, camping and open-air recreation (SD)",0.00015060
..NATIONAL CAPITAL REGION (NCR),"Gardens, plants and flowers (ND)",0.00004504
..NATIONAL CAPITAL REGION (NCR),Pets and related products (ND),0.00039481
..NATIONAL CAPITAL REGION (NCR),RECREATIONAL AND CULTURAL SERVICES,0.00515224
..NATIONAL CAPITAL REGION (NCR),Recreational and sporting services (S),..
..NATIONAL CAPITAL REGION (NCR),Cultural services (S),0.00063129
..NATIONAL CAPITAL REGION (NCR),Games of chance (S),0.00452095
..NATIONAL CAPITAL REGION (NCR),NEWSPAPERS. BOOKS AND STATIONERY,0.01266002
..NATIONAL CAPITAL REGION (NCR),Books (SD),0.00115160
..NATIONAL CAPITAL REGION (NCR),Newspapers and periodicals (ND),0.00071310
..NATIONAL CAPITAL REGION (NCR),Miscellaneous printed matter (ND),0.00011563
..NATIONAL CAPITAL REGION (NCR),Stationery and drawing materials (ND),0.01067969
..NATIONAL CAPITAL REGION (NCR),EDUCATION,0.00902940
..NATIONAL CAPITAL REGION (NCR),PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.00142031
..NATIONAL CAPITAL REGION (NCR),Pre-primary education services (S),0.00032355
..NATIONAL CAPITAL REGION (NCR),Primary education services (S),0.00109676
..NATIONAL CAPITAL REGION (NCR),SECONDARY (HIGH SCHOOL) EDUCATION,0.00068100
..NATIONAL CAPITAL REGION (NCR),Secondary education services (S),0.00068100
..NATIONAL CAPITAL REGION (NCR),POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,0.00075329
..NATIONAL CAPITAL REGION (NCR),Post-secondary non-tertiary education services (S),0.00075329
..NATIONAL CAPITAL REGION (NCR),TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.00617480
..NATIONAL CAPITAL REGION (NCR),First stage of tertiary education services (S),0.00617480
..NATIONAL CAPITAL REGION (NCR),Second stage of tertiary education services (S),..
..NATIONAL CAPITAL REGION (NCR),EDUCATION NOT DEFINABLE BY LEVEL,..
..NATIONAL CAPITAL REGION (NCR),Education services not definable by level (S),..
..NATIONAL CAPITAL REGION (NCR),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.61421162
..NATIONAL CAPITAL REGION (NCR),CATERING SERVICES,0.43994935
..NATIONAL CAPITAL REGION (NCR),"Restaurants, cafes and the like (S)",0.43994935
..NATIONAL CAPITAL REGION (NCR),PERSONAL CARE,0.16119591
..NATIONAL CAPITAL REGION (NCR),Hairdressing salons and personal grooming establishments (S),0.02111281
..NATIONAL CAPITAL REGION (NCR),Electric appliances for personal care (SD),0.00002802
..NATIONAL CAPITAL REGION (NCR),"Other appliances, articles and products for personal care (ND)",0.14005508
..NATIONAL CAPITAL REGION (NCR),"PERSONAL EFFECTS, N.E.C.",0.01141568
..NATIONAL CAPITAL REGION (NCR),"Jewellery, clocks and watches (D)",0.00842040
..NATIONAL CAPITAL REGION (NCR),Other personal effects (SD),0.00299528
..NATIONAL CAPITAL REGION (NCR),"OTHER SERVICES, n.e.c.",0.00165068
..NATIONAL CAPITAL REGION (NCR),"Other services, n.e.c.",0.00165068
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),ALL ITEMS,96.22152979
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),FOOD AND NON-ALCOHOLIC BEVERAGES,56.54856386
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),FOOD,53.48213215
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Bread and cereals (ND),26.58816875
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Rice,20.28748976
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Corn,2.57688164
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",3.72379735
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Meat (ND),4.87917671
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Fish  and Seafood (ND),9.03692168
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Milk, cheese and eggs (ND)",2.84542084
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Oils and fats (ND),1.00317354
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Fruit (ND),1.69593912
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Vegetables (ND),4.25723159
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Sugar, jam, honey, chocolate and confectionery (ND)",1.63757168
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Food products n.e.c. (ND),1.53852824
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),NON-ALCOHOLIC BEVERAGES,3.06643171
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Coffee, tea and cocoa (ND)",1.97985710
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Mineral water, soft drinks, fruit and vegetable juices (ND)",1.08657461
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),ALCOHOLIC BEVERAGES AND TOBACCO,2.36832027
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),ALCOHOLIC BEVERAGES,0.83288155
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Spirits (ND),0.50421224
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Wine (ND),0.18029691
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Beer (ND),0.14837240
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),TOBACCO,1.52509679
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Tobacco (ND),1.52509679
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,0.01034193
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Other vegetable-based products,0.01034193
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),NON-FOOD,37.30464566
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),CLOTHING AND FOOTWEAR,2.48163192
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),CLOTHING,1.72540532
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Clothing materials (SD),0.00311743
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Garments (SD),1.70536377
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Other articles of clothing and clothing accessories (SD),0.01165022
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"Cleaning, repair and hire of clothing (S)",0.00527390
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),FOOTWEAR,0.75622660
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Shoes and other footwear (SD),0.75506954
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Repair and hire of footwear (S),0.00115706
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",14.54243804
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),ACTUAL RENTALS FOR HOUSING,7.43455686
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Actual rentals paid by tenants (S),7.43455686
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),MAINTENANCE AND REPAIR OF THE DWELLING,0.30029934
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Materials for the maintenance and repair of the dwelling (ND),0.26284819
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),Services for the maintenance and repair of the dwelling (S),0.03745115
..AREAS OUTSIDE NATIONAL CAPITAL REGION(AONCR),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.50349955
