..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),TOTAL,813865,781954,765886,754386,666917,467789
..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Owned  d/,389319,429555,476042,345104,311663,276535
..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,98713,120750,91839,287910,237638,.
..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Tenanted,239922,142330,151039,45948,44297,73210
..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,34750,28553,59294
..Region VI  (WESTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Other Forms,85914,89321,46966,40673,43460,58750
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,TOTAL,235458,221742,341884,424825,430043,620407
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,..Owned  d/,88623,126573,191436,183757,215749,390649
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,..Partly Owned  e/,48738,32931,52640,113484,98878,.
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,..Tenanted,90180,57830,82247,102286,83726,151135
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,..Leased,.,.,.,5234,7772,16756
..Region VII  (CENTRAL VISAYAS),Number of Holding/Farm Parcels,..Other Forms,7917,4408,15561,20065,22622,61867
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),TOTAL,456035,479133,582862,549895,522433,292505
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),..Owned  d/,220848,304738,391121,282789,287652,185323
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,103876,73294,88635,158186,136294,.
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),..Tenanted,105361,75891,81650,87844,71623,62722
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,6740,7207,12859
..Region VII  (CENTRAL VISAYAS),Area of Holding/Farm Parcels (in hectares),..Other Forms,25948,25211,21456,14336,18354,31602
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,TOTAL,201370,200147,271283,321456,330750,593883
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,..Owned  d/,106727,128779,159402,116387,126439,357394
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,..Partly Owned  e/,29561,20414,28659,123775,127452,.
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,..Tenanted,57486,46509,73791,61710,54907,150144
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,..Leased,.,.,.,6384,7190,21078
..Region VIII  (EASTERN VISAYAS),Number of Holding/Farm Parcels,..Other Forms,7596,4445,9431,13200,13982,65267
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),TOTAL,670353,674136,744141,695711,723048,453641
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Owned  d/,388649,458469,484259,285439,295445,283771
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,125580,84529,95595,284908,302513,.
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Tenanted,126022,106651,147082,105815,101188,141632
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,7670,9876,11413
..Region VIII  (EASTERN VISAYAS),Area of Holding/Farm Parcels (in hectares),..Other Forms,30103,24488,17205,11878,12736,16825
..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,TOTAL,85594,123814,169898,235674,252659,267667
..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,..Owned  d/,46164,87598,106712,114223,133844,193243
..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,..Partly Owned  e/,8395,5443,6686,41849,47220,.
..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,..Tenanted,26525,26355,42057,58782,49134,51473
..Region IX  (ZAMBOANGA PENINSULA),Number of Holding/Farm Parcels,..Leased,.,.,.,3807,5319,6070
