Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: Commercial Stock,1991,655600.00,639800.00,564000.00,582800.00,646700.00,627900.00,603400.00,560800.00,410400.00,403100.00,491300.00,515700.00
Rice: Commercial Stock,1992,535300.00,448300.00,453300.00,435600.00,465600.00,494300.00,432900.00,395200.00,365400.00,291500.00,350000.00,422700.00
Rice: Commercial Stock,1993,449000.00,415700.00,336300.00,412800.00,488900.00,476400.00,460400.00,393300.00,314400.00,290400.00,352000.00,472400.00
Rice: Commercial Stock,1994,418400.00,405400.00,371300.00,424100.00,482100.00,513800.00,431100.00,373900.00,317100.00,320700.00,427100.00,438800.00
Rice: Commercial Stock,1995,416400.00,406400.00,373500.00,411500.00,447600.00,494200.00,375700.00,241900.00,126800.00,171800.00,285000.00,330700.00
Rice: Commercial Stock,1996,325100.00,306000.00,272200.00,288300.00,379700.00,393800.00,362400.00,327000.00,312700.00,322600.00,427900.00,470200.00
Rice: Commercial Stock,1997,465600.00,417600.00,390900.00,374800.00,421700.00,439200.00,394800.00,348400.00,292300.00,324600.00,464900.00,528700.00
Rice: Commercial Stock,1998,448200.00,397400.00,408100.00,521000.00,534400.00,524100.00,419800.00,334300.00,325800.00,305400.00,358900.00,500400.00
Rice: Commercial Stock,1999,414500.00,389700.00,303900.00,359200.00,503500.00,488100.00,461500.00,511500.00,401900.00,436800.00,488900.00,540000.00
Rice: Commercial Stock,2000,488200.00,420600.00,381000.00,441200.00,509600.00,485500.00,456800.00,360000.00,326400.00,410800.00,410300.00,471900.00
Rice: Commercial Stock,2001,492400.00,487100.00,485600.00,502700.00,610100.00,631000.00,498100.00,408700.00,424100.00,440300.00,524700.00,524500.00
Rice: Commercial Stock,2002,473500.00,429100.00,404800.00,431400.00,482100.00,479900.00,386000.00,336900.00,295800.00,326900.00,488800.00,459900.00
Rice: Commercial Stock,2003,552500.00,497500.00,461400.00,494200.00,562000.00,526500.00,467600.00,394200.00,334800.00,403300.00,519200.00,533600.00
Rice: Commercial Stock,2004,515500.00,480800.00,391500.00,467400.00,551300.00,469100.00,406700.00,323000.00,266400.00,364200.00,492100.00,512200.00
Rice: Commercial Stock,2005,438700.00,404100.00,294200.00,381600.00,458500.00,434300.00,348200.00,310800.00,255700.00,317800.00,413600.00,482700.00
Rice: Commercial Stock,2006,433500.00,392100.00,358000.00,470200.00,482100.00,478800.00,419600.00,367800.00,319500.00,355300.00,424000.00,447400.00
Rice: Commercial Stock,2007,373600.00,330800.00,320800.00,345600.00,452600.00,402600.00,372600.00,275200.00,233600.00,331500.00,377300.00,456900.00
Rice: Commercial Stock,2008,457400.00,432200.00,410800.00,341000.00,499500.00,456900.00,390100.00,347800.00,360200.00,400500.00,539400.00,514300.00
Rice: Commercial Stock,2009,425100.00,370200.00,357500.00,386600.00,443600.00,446900.00,418600.00,361900.00,386700.00,416500.00,464700.00,461700.00
Rice: Commercial Stock,2010,442600.00,393900.00,384400.00,422400.00,459400.00,459000.00,424000.00,479600.00,380900.00,483500.00,693100.00,698900.00
Rice: Commercial Stock,2011,551200.00,543300.00,455200.00,616200.00,699200.00,736500.00,687300.00,596700.00,483800.00,644600.00,713100.00,711300.00
Rice: Commercial Stock,2012,604200.00,606600.00,422800.00,530800.00,799600.00,750393.00,561917.00,487300.00,391900.00,559600.00,782800.00,690600.00
Rice: Commercial Stock,2013,621700.00,556200.00,511800.00,673300.00,799900.00,716400.00,684790.00,584600.00,498610.00,477200.00,636900.00,755000.00
Rice: Commercial Stock,2014,582962.00,474170.00,376481.00,475365.00,727350.00,817464.00,689218.00,579479.00,439271.00,521988.00,902820.00,977855.00
Rice: Commercial Stock,2015,811850.00,769860.00,744950.00,801490.00,1066180.00,1108650.00,840760.00,716630.00,581600.00,666050.00,882140.00,975690.00
Rice: Commercial Stock,2016,965370.00,942380.00,706410.00,1005550.00,1042450.00,994660.00,838810.00,621590.00,522450.00,787910.00,1078840.00,1096690.00
Rice: Commercial Stock,2017,948050.00,685960.00,626928.00,907357.00,1453098.00,1288278.00,1198104.00,1170970.00,668290.00,704949.00,982910.00,1056220.00
Rice: Commercial Stock,2018,857280.00,646560.00,553345.00,794377.00,1516028.00,1263594.00,945100.00,673234.00,446730.00,602301.00,1338841.00,1089173.00
Rice: Commercial Stock,2019,1205210.00,811196.00,695840.00,875239.00,1123813.00,998229.00,1099672.00,880146.00,759744.00,832544.00,981693.00,1009720.00
Rice: Commercial Stock,2020,951634.00,841150.00,715810.00,709550.00,940890.00,891403.00,808547.00,729946.00,744000.00,951180.00,963516.00,794714.00
Rice: Commercial Stock,2021,689961.00,708936.02,584655.88,738160.00,918668.35,1173281.49,986310.00,648399.23,543023.90,728694.67,841738.07,831165.69
Rice: Commercial Stock,2022,659563.81,545273.25,611330.00,997408.49,880938.44,865640.00,809827.27,707200.00,628160.30,798116.60,1038010.00,933010.00
Rice: Commercial Stock,2023,651930.00,541210.00,494252.94,728730.70,787970.99,848107.90,984761.41,945096.67,902290.44,1080905.36,901106.38,851875.81
Rice: Commercial Stock,2024,978002.26,778887.55,630285.38,876590.00,1142655.42,1328853.71,1324469.14,1165003.64,1050261.77,1210759.99,1418557.09,1514261.25
Rice: Commercial Stock,2025,860797.99,922495.98,527777.55,820838.11,803439.85,814385.31,1343908.45,1030751.52,815346.38,954908.93,944142.43,1221968.35
Rice: Commercial Stock,2026,858877.00,791200.85,564220.75,826333.97,916555.18,..,..,..,..,..,..,..
Rice: NFA Stock,1980,726400.00,775300.00,765300.00,750000.00,757600.00,759000.00,742200.00,689500.00,614300.00,509100.00,496900.00,526200.00
Rice: NFA Stock,1981,572400.00,571400.00,562500.00,547700.00,535100.00,530000.00,491600.00,411600.00,400100.00,362800.00,369500.00,452900.00
Rice: NFA Stock,1982,518700.00,569300.00,570900.00,576400.00,583400.00,596400.00,601100.00,586100.00,560100.00,524600.00,527400.00,569900.00
Rice: NFA Stock,1983,662300.00,737700.00,770200.00,797000.00,789900.00,756300.00,673600.00,536600.00,364100.00,240600.00,157300.00,164100.00
Rice: NFA Stock,1984,191100.00,205800.00,202200.00,182700.00,170600.00,123100.00,104200.00,129200.00,84000.00,32100.00,46900.00,53100.00
Rice: NFA Stock,1985,76100.00,90600.00,94600.00,120100.00,117600.00,159500.00,197400.00,192400.00,197700.00,222700.00,327600.00,390200.00
Rice: NFA Stock,1986,466200.00,517800.00,524700.00,524800.00,534500.00,559400.00,584600.00,586800.00,571100.00,554300.00,554900.00,579100.00
Rice: NFA Stock,1987,637000.00,669600.00,668900.00,672900.00,657300.00,612400.00,552700.00,430700.00,342100.00,254300.00,266400.00,348300.00
