Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..City of Cebu,258239870.4,280426506.52,255278377.3,271890896.73,305570606.2,344093015.59,258239870.4,278980611.89,248796026.8,266165475.09,288769438.8,312706450.98
..City of Lapu-Lapu,147788795.42,155258176.22,133980959.25,137712195.12,163847733.89,186918017.36,147788795.42,154577748.83,128792039.6,133776645.7,151438081.02,165607952.58
..City of Mandaue,98393645.88,109074640.42,96333029.26,101981303.77,116123463.17,129985037.61,98393645.88,107524819.72,94563075.69,100500167.18,109616430.09,117993133.71
Region VIII (Eastern Visayas),444384028.77,455533642.56,414265871.13,450146977.42,512826609.12,568717612.78,444384028.77,469292504.4,434767718.09,461066832.07,492180253.98,523561132.94
..Biliran,16613866.18,17043850.06,15389194.87,16455983.22,18458068.04,20456313.66,16613866.18,17133259.7,14851291.68,15419962.45,16185221.54,17260677.62
..Eastern Samar,31390805.89,32413902.46,30544079.37,33966511.01,38694714.81,44159458.06,31390805.89,32031331.72,29670042.34,31787052.1,33975591.38,36719355.32
..Leyte,214924596.84,212685153.08,187515965.04,205956580.76,233606330.12,259847760.27,214924596.84,228947296.66,216638099.69,231822815.16,245338874.42,261051299.24
..Northern Samar,40120098.16,41554064.5,41759321.87,43626382.85,49237879.05,52512472.06,40120098.16,41558424.45,40292118.79,41179102.65,44315596.25,45956870.72
..Samar,52216759.73,55066887.22,53524668.31,57927172.36,65622309.73,72512999.67,52216759.73,55277111.34,51867621.41,54172066.1,57827401.4,61353136.65
..Southern Leyte,40301485.06,42373053.97,40776854.89,43911045.8,48747780.23,54210810.66,40301485.06,41959629.93,38950057.34,41393832.05,42998161.02,46124433.55
..City of Tacloban,48816416.92,54396731.27,44755786.77,48303301.42,58459527.13,65017798.39,48816416.92,52385450.6,42498486.82,45292001.55,51539407.97,55095359.84
