Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Sweden,52019282,31066504,20952778,-10113726,51067488,27445424,23622064,-3823360,81292920,64290203,17002717,-47287486,90909206,73050135,17859071,-55191064,113912638,93727145,20185493,-73541652,235098410,210583094,24515316,-186067778,289341299,272653930,16687369,-255966561,120994354,101954585,19039769,-82914816,165451626,110571661,54879965,-55691696,172318579,114527380,57791199,-56736181,138928083,116707588,22220495,-94487093,115629177,97189069,18440108,-78748961,110012470,91742429,18270041,-73472388,158581728,145378852,13202876,-132175976,117576467,102663002,14913465,-87749537,150073156,123007896,27065260,-95942636,166921507,140710439,26211068,-114499371,201572345,174832987,26739358,-148093629,164176871,144493460,19683411,-124810049,157651600,119112289,38539311,-80572978,174276893,117031332,57245561,-59785771,202698935,118089058,84609877,-33479181,255958063,92073421,163884642,71811221,257269366,106501365,150768001,44266636,143404896,123114443,20290453,-102823990,144065285,121982721,22082564,-99900157,171784064,135458775,36325289,-99133486,227522220,195894460,31627760,-164266700,234594267,195553788,39040479,-156513309,199484342,168236322,31248020,-136988302,242154709,199592770,42561939,-157030831,217104015,174037991,43066024,-130971967,226270349,184424456,41845893,-142578563,228888382,185693054,43195328,-142497726,238472724,193286264,45186460,-148099804,81937746,67202133,14735613,-52466520
Switzerland,102538123,85688711,16849412,-68839299,105889457,84310187,21579270,-62730917,134946959,107841784,27105175,-80736609,149247826,121369359,27878467,-93490892,198793368,171987541,26805827,-145181714,231114847,198282335,32832512,-165449823,245564590,203208678,42355912,-160852766,214018020,175128350,38889670,-136238680,224959264,182348651,42610613,-139738038,266667641,216175189,50492452,-165682737,165854078,125835544,40018534,-85817010,210856843,181278782,29578061,-151700721,267269774,244314931,22954843,-221360088,404520351,378586281,25934070,-352652211,316081581,288367263,27714318,-260652945,289692712,256344628,33348084,-222996544,290510444,252540680,37969764,-214570916,296166374,251791763,44374611,-207417152,272450862,223262532,49188330,-174074202,376794642,281092264,95702378,-185389886,543647774,276798423,266849351,-9949072,657090304,265663386,391426918,125763532,611664678,334933771,276730907,-58202864,576947174,328574127,248373047,-80201080,607826052,345387357,262438695,-82948662,807354557,398390339,408964218,10573879,752692587,390620804,362071783,-28549021,746198845,391491060,354707785,-36783275,771453585,354164435,417289150,63124715,771287216,320888305,450398911,129510606,849203096,320980842,528222254,207241412,890558447,334475879,556082568,221606689,933005858,372547292,560458566,187911274,938621569,326251332,612370237,286118905,1124237464,356109727,768127737,412018010,464002955,117825980,346176975,228350995
Syrian Arab Republic,239060,1072,237988,236916,384888,0,384888,384888,1199092,978473,220619,-757854,2632888,2381002,251886,-2129116,12776036,12335358,440678,-11894680,2788013,2014966,773047,-1241919,1672108,376546,1295562,919016,4854122,1694004,3160118,1466114,470874,164600,306274,141674,729301,48584,680717,632133,2119133,97720,2021413,1923693,1594183,310335,1283848,973513,899332,11274,888058,876784,1257687,0,1257687,1257687,1372307,198,1372109,1371911,566802,206,566596,566390,1066032,1296,1064736,1063440,875757,10915,864842,853927,1260494,17374,1243120,1225746,2339868,0,2339868,2339868,529940,12395,517545,505150,383163,10372,372791,362419,11470,101,11369,11268,83061,0,83061,83061,344503,65173,279330,214157,1508811,1429514,79297,-1350217,271315,3811,267504,263693,775216,13483,761733,748250,514980,32991,481989,448998,475047,72045,403002,330957,130635,1118,129517,128399,48460,39560,8900,-30660,197323,2583,194740,192157,180286,9070,171216,162146,139297,0,139297,139297,12745,1245,11500,10255
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14502,0,14502,14502,20834,0,20834,20834,70272,0,70272,70272,58772,0,58772,58772,95652,0,95652,95652,152537,0,152537,152537,11509,0,11509,11509,0,0,0,0,93923,0,93923,93923,222697,1276,221421,220145,212154,0,212154,212154,6321,4517,1804,-2713,18013,3228,14785,11557,17632,1936,15696,13760,36840,36800,40,-36760,34718,33718,1000,-32718,78212,11590,66622,55032,2764,820,1944,1124,9946,401,9545,9144,9801,9801,0,-9801,47047,46691,356,-46335,150485,3083,147402,144319,24500,350,24150,23800,73920,801,73119,72318,6089,6089,0,-6089
"Tanzania, United Rep. of",5654248,5271986,382262,-4889724,2814571,2751483,63088,-2688395,1385228,1309572,75656,-1233916,1363884,1220349,143535,-1076814,1446653,1370962,75691,-1295271,1239995,1215381,24614,-1190767,866971,828512,38459,-790053,2038959,245301,1793658,1548357,1544237,966868,577369,-389499,667121,94057,573064,479007,1130807,678832,451975,-226857,2702715,1332956,1369759,36803,974831,11358,963473,952115,441099,11289,429810,418521,631241,353076,278165,-74911,574175,389225,184950,-204275,1655960,537134,1118826,581692,9405885,255351,9150534,8895183,1961214,1388848,572366,-816482,1561683,26421,1535262,1508841,3048793,320129,2728664,2408535,3650567,2843721,806846,-2036875,2661448,1954535,706913,-1247622,3057826,2671618,386208,-2285410,5278231,4963236,314995,-4648241,4388571,3841390,547181,-3294209,2817158,1666099,1151059,-515040,7981927,7149620,832307,-6317313,4992196,3330658,1661538,-1669120,2571402,1112464,1458938,346474,6237602,3788940,2448662,-1340278,7942690,6316231,1626459,-4689772,6904729,5392544,1512185,-3880359,9873268,6856730,3016538,-3840192,10550161,7183637,3366524,-3817113,4935655,4389832,545823,-3844009
Thailand,315011678,94196817,220814861,126618044,236602675,138168881,98433794,-39735087,339251676,170532547,168719129,-1813418,560843913,197020071,363823842,166803771,1194499968,395612648,798887320,403274672,1381941465,601828331,780113134,178284803,1647369002,791395909,855973093,64577184,1428177236,793801185,634376051,-159425134,1663425001,821710981,841714020,20003039,2085225439,878747347,1206478092,327730745,2282706607,924618983,1358087624,433468641,2173132590,1089692808,1083439782,-6253026,2662851706,1428900544,1233951162,-194949382,2636176849,1572494628,1063682221,-508812407,2751882183,1582730789,1169151394,-413579395,3400208886,2075485738,1324723148,-750762590,3680375706,2277346942,1403028764,-874318178,4295384375,2786355917,1509028458,-1277327459,3687349873,2451260145,1236089728,-1215170417,5653417837,3870777892,1782639945,-2088137947,5369961019,3463955149,1906005870,-1557949279,5907267796,3461411066,2445856730,-1015554336,5294345636,3385324883,1909020753,-1476304130,5834507231,3481411531,2353095700,-1128315831,7274072919,4944181299,2329891620,-2614289679,8762080185,6578220663,2183859522,-4394361141,9499627457,6758848348,2740779109,-4018069239,10761453723,7786514278,2974939445,-4811574833,9948271964,6975791735,2972480229,-4003311506,7849791317,4972394228,2877397089,-2094997139,10397977152,6947067021,3450910131,-3496156890,10710126805,7334001451,3376125354,-3957876097,10812220950,7880580672,2931640278,-4948940394,10478046807,7521940939,2956105868,-4565835071,10468818381,7567048205,2901770176,-4665278029,3062258890,2125484879,936774011,-1188710868
Togo,8632924,8486362,146562,-8339800,5671661,5441700,229961,-5211739,7665438,7646000,19438,-7626562,8601988,8549373,52615,-8496758,7149541,7141598,7943,-7133655,7526330,7095602,430728,-6664874,17597767,17461555,136212,-17325343,20600200,20600200,0,-20600200,13496852,13295110,201742,-13093368,8388473,8384949,3524,-8381425,10683718,10682540,1178,-10681362,13935,6840,7095,255,208928,22174,186754,164580,73126,63257,9869,-53388,1500,1500,0,-1500,1480056,1443373,36683,-1406690,21857,21857,0,-21857,9733,0,9733,9733,42854,0,42854,42854,7645980,7482126,163854,-7318272,19562904,16423178,3139726,-13283452,482360,20411,461949,441538,282877,0,282877,282877,317776,0,317776,317776,362816,88594,274222,185628,1309593,88,1309505,1309417,110728,10059,100669,90610,366288,23118,343170,320052,47515,39442,8073,-31369,11972737,11770019,202718,-11567301,612408,186908,425500,238592,13549292,13509390,39902,-13469488,10481725,10290000,191725,-10098275,51196,1397,49799,48402,2151024,2880,2148144,2145264,27259,191,27068,26877
Tokelau,0,0,0,0,0,0,0,0,508,508,0,-508,0,0,0,0,0,0,0,0,0,0,0,0,42392,42392,0,-42392,30088,30088,0,-30088,13144,13144,0,-13144,88137,0,88137,88137,0,0,0,0,0,0,0,0,53186,53186,0,-53186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,3478,3478,0,0,0,0,6636,0,6636,6636,0,0,0,0,0,0,0,0,52467,246,52221,51975,125,0,125,125,2312,2312,0,-2312,1627953,41,1627912,1627871,3795,3795,0,-3795,9913,9913,0,-9913,16584,16584,0,-16584,46789,29385,17404,-11981,13607,13607,0,-13607,55423,55423,0,-55423,74,74,0,-74
Tonga,18591,0,18591,18591,0,0,0,0,9416,0,9416,9416,0,0,0,0,9110,0,9110,9110,59053,0,59053,59053,9238,0,9238,9238,488,0,488,488,121449,0,121449,121449,0,0,0,0,15530,0,15530,15530,0,0,0,0,11530,0,11530,11530,25207,0,25207,25207,145580,0,145580,145580,62209,0,62209,62209,92467,197,92270,92073,249597,0,249597,249597,172452,0,172452,172452,65320,319,65001,64682,222311,106,222205,222099,149953,306,149647,149341,524880,103,524777,524674,471498,0,471498,471498,636513,249715,386798,137083,671913,230168,441745,211577,684625,18758,665867,647109,330511,100,330411,330311,635860,0,635860,635860,349921,3342,346579,343237,513812,2038,511774,509736,587669,99,587570,587471,770926,344,770582,770238,762928,162,762766,762604,944905,0,944905,944905,135407,970,134437,133467
Trinidad And Tobago,383362,0,383362,383362,43817,0,43817,43817,335343,0,335343,335343,130293,0,130293,130293,187454,680,186774,186094,700218,442690,257528,-185162,266592,156000,110592,-45408,288732,0,288732,288732,809947,0,809947,809947,190873,0,190873,190873,266426,0,266426,266426,194306,0,194306,194306,218167,0,218167,218167,349647,0,349647,349647,157808,7567,150241,142674,313422,24411,289011,264600,1211552,0,1211552,1211552,481584,32205,449379,417174,267138,0,267138,267138,336002,1470,334532,333062,807809,102,807707,807605,4095611,3471120,624491,-2846629,904600,69,904531,904462,720772,0,720772,720772,631164,399,630765,630366,919860,555041,364819,-190222,406744,0,406744,406744,701880,12457,689423,676966,950624,512503,438121,-74382,620695,2162,618533,616371,324872,978,323894,322916,456716,6684,450032,443348,295951,10335,285616,275281,439845,17196,422649,405453,375325,12689,362636,349947,72825,3266,69559,66293
Pacific Trust Territory,6664453,1034955,5629498,4594543,12198937,6427808,5771129,-656679,9587808,3975588,5612220,1636632,14841179,8355149,6486030,-1869119,20606583,12935271,7671312,-5263959,18809928,9092845,9717083,624238,17358778,8554608,8804170,249562,10785175,4438022,6347153,1909131,13291896,7337933,5953963,-1383970,10200233,1681695,8518538,6836843,10786062,2208780,8577282,6368502,9151357,1663846,7487511,5823665,9754477,1708441,8046036,6337595,11325346,2315959,9009387,6693428,10522198,1175941,9346257,8170316,10075445,1816713,8258732,6442019,10372126,755570,9616556,8860986,6771676,180877,6590799,6409922,6050243,189451,5860792,5671341,6957355,92568,6864787,6772219,7615763,345911,7269852,6923941,4618776,57544,4561232,4503688,1581863,18445,1563418,1544973,1133256,71409,1061847,990438,2709609,127,2709482,2709355,1751724,946,1750778,1749832,591438,0,591438,591438,265656,0,265656,265656,355282,0,355282,355282,5286,0,5286,5286,206936,0,206936,206936,14325,0,14325,14325,8998,0,8998,8998,31726,0,31726,31726,0,0,0,0,600,0,600,600
Tunisia,288487,0,288487,288487,332342,9523,322819,313296,354862,193,354669,354476,454350,132,454218,454086,342452,0,342452,342452,1308959,0,1308959,1308959,2980794,0,2980794,2980794,1358276,0,1358276,1358276,168324,45432,122892,77460,428575,86220,342355,256135,655997,67220,588777,521557,492705,0,492705,492705,167622,0,167622,167622,279117,32206,246911,214705,983488,75469,908019,832550,2803237,707141,2096096,1388955,1702269,23040,1679229,1656189,28547272,26928840,1618432,-25310408,1981137,11681,1969456,1957775,3612756,604072,3008684,2404612,3991907,510918,3480989,2970071,12856934,1300387,11556547,10256160,22024475,1446376,20578099,19131723,24936925,283993,24652932,24368939,10458620,1504872,8953748,7448876,7362014,2054916,5307098,3252182,6211889,1642269,4569620,2927351,13270062,2802648,10467414,7664766,11113114,3766644,7346470,3579826,10696958,2449613,8247345,5797732,15849035,3573535,12275500,8701965,23755955,7782261,15973694,8191433,24651836,7922165,16729671,8807506,24176577,6140646,18035931,11895285,28051101,10487461,17563640,7076179,15867113,2092394,13774719,11682325
Turkey,10656899,5293169,5363730,70561,33181948,26830063,6351885,-20478178,10977286,5983939,4993347,-990592,18366416,16066489,2299927,-13766562,20310688,16975537,3335151,-13640386,58601237,52997872,5603365,-47394507,30098194,23685008,6413186,-17271822,25310441,13633838,11676603,-1957235,22894841,13316603,9578238,-3738365,22327767,10239516,12088251,1848735,17554427,10521333,7033094,-3488239,22071617,10867402,11204215,336813,35668975,22813949,12855026,-9958923,45052034,22054336,22997698,943362,58191498,22413769,35777729,13363960,100026966,21315859,78711107,57395248,105983516,32549162,73434354,40885192,114212541,51038210,63174331,12136121,86015852,52114277,33901575,-18212702,115254397,53369697,61884700,8515003,154156977,87783522,66373455,-21410067,171424567,129265106,42159461,-87105645,152004288,112655251,39349037,-73306214,139958766,101049417,38909349,-62140068,123972914,89119777,34853137,-54266640,121685257,86804713,34880544,-51924169,181201888,119238815,61963073,-57275742,217578238,165586994,51991244,-113595750,172056419,117120277,54936142,-62184135,149913010,96056853,53856157,-42200696,158909306,111390018,47519288,-63870730,486976423,422248055,64728368,-357519687,212238651,142442608,69796043,-72646565,283167834,151724818,131443016,-20281802,366691710,178311090,188380620,10069530,194412216,44116605,150295611,106179006
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,159088,159088,0,-159088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,1690,1690,2307,0,2307,2307,11553,163,11390,11227,27625,0,27625,27625,0,0,0,0,3188,0,3188,3188,14483,0,14483,14483,0,0,0,0,500,0,500,500,0,0,0,0,19436,0,19436,19436,161928,0,161928,161928,10389,0,10389,10389,500,0,500,500,5260,0,5260,5260,335,0,335,335,0,0,0,0,22414,8446,13968,5522,25732,0,25732,25732,8539,8539,0,-8539,27868,27124,744,-26380,225,225,0,-225,35984,1284,34700,33416,290,0,290,290,0,0,0,0
Turks And Caicos Islands,905,0,905,905,500,0,500,500,460,460,0,-460,0,0,0,0,1285020,1285020,0,-1285020,60641,0,60641,60641,2038,0,2038,2038,1509,0,1509,1509,0,0,0,0,45383,0,45383,45383,12702,0,12702,12702,32562,0,32562,32562,130,0,130,130,0,0,0,0,23072,0,23072,23072,3000,0,3000,3000,304997,0,304997,304997,22938,0,22938,22938,26917,817,26100,25283,17449,1809,15640,13831,6257,65,6192,6127,31426,0,31426,31426,826,0,826,826,137601,12550,125051,112501,239112,235328,3784,-231544,163621,160443,3178,-157265,1010938,523963,486975,-36988,40641,38525,2116,-36409,25574,11321,14253,2932,253547,24638,228909,204271,629949,4857,625092,620235,4748,2590,2158,-432,17950,2775,15175,12400,1747,825,922,97,20103,19988,115,-19873,2126,0,2126,2126
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13377,0,13377,13377,0,0,0,0,0,0,0,0,0,0,0,0,214337,198938,15399,-183539,80524,0,80524,80524,70145,0,70145,70145,12978,0,12978,12978,46776,0,46776,46776,45953,0,45953,45953,8674,0,8674,8674,31817,0,31817,31817,24700,0,24700,24700,0,0,0,0,0,0,0,0,40390,0,40390,40390,70779,0,70779,70779,26430,0,26430,26430,31682,0,31682,31682,5344564,5344514,50,-5344464,17328,628,16700,16072,3458050,3457947,103,-3457844,3467151,3465051,2100,-3462951,3332838,3323310,9528,-3313782,1147409,1108300,39109,-1069191,2631145,2596429,34716,-2561713,13156,0,13156,13156,12665,107,12558,12451
Uganda,1055,0,1055,1055,0,0,0,0,1273,341,932,591,245,0,245,245,13946,457,13489,13032,412721,412721,0,-412721,25126,0,25126,25126,53003,0,53003,53003,18739,0,18739,18739,29867,0,29867,29867,352,0,352,352,102444,0,102444,102444,104953,1275,103678,102403,206840,0,206840,206840,589677,356511,233166,-123345,554166,286499,267667,-18832,93958,17986,75972,57986,230489,7946,222543,214597,59107,11090,48017,36927,384410,157,384253,384096,566034,71124,494910,423786,971549,108441,863108,754667,577381,374336,203045,-171291,1745730,1403169,342561,-1060608,1016766,54000,962766,908766,1051587,58389,993198,934809,1208024,35354,1172670,1137316,1061985,112972,949013,836041,1280815,278,1280537,1280259,1532435,27028,1505407,1478379,1014721,59228,955493,896265,955725,1573,954152,952579,1131048,6868,1124180,1117312,1096833,41892,1054941,1013049,1018994,116083,902911,786828,392155,31028,361127,330099
Russian Federation,47472123,31976917,15495206,-16481711,91927154,84176425,7750729,-76425696,101162882,90751304,10411578,-80339726,207107090,186903995,20203095,-166700900,351695926,340322265,11373661,-328948604,479539888,464158297,15381591,-448776706,427475898,416911058,10564840,-406346218,170061001,163190920,6870081,-156320839,322485836,317744188,4741648,-313002540,242377324,238226488,4150836,-234075652,241074350,227443004,13631346,-213811658,316248275,305734846,10513429,-295221417,359104694,345144280,13960414,-331183866,396359739,377776726,18583013,-359193713,390051001,353616078,36434923,-317181155,228364444,204831203,23533241,-181297962,132459237,106583096,25876141,-80706955,166043358,132118483,33924875,-98193608,290616197,251529856,39086341,-212443515,486330184,451643828,34686356,-416957472,1574978751,1531416262,43562489,-1487853773,1068748959,1002261332,66487627,-935773705,1357849470,1289478477,68370993,-1221107484,1048270983,980687648,67583335,-913104313,421609749,375298227,46311522,-328986705,234251999,184424099,49827900,-134596199,568358173,498803916,69554257,-429249659,1356585782,1270514098,86071684,-1184442414,1088082572,985818761,102263811,-883554950,901208983,812780146,88428837,-724351309,819544675,698732175,120812500,-577919675,662282710,607392651,54890059,-552502592,207871803,155081667,52790136,-102291531,108422717,52359262,56063455,3704193,91424591,34488279,56936312,22448033,203746836,189097974,14648862,-174449112
Byelorussian Soviet Socialist Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10810,0,10810,10810,247904,247904,0,-247904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,1740,0,-1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia (Latvian Soviet Socialist Rep.),0,0,0,0,37042,0,37042,37042,3635972,3635972,0,-3635972,3830484,3830484,0,-3830484,3116856,3031668,85188,-2946480,4606905,4565801,41104,-4524697,5180301,5077422,102879,-4974543,99307,79100,20207,-58893,82163,0,82163,82163,100071,0,100071,100071,327394,0,327394,327394,219683,0,219683,219683,271893,658,271235,270577,335540,249,335291,335042,355427,2358,353069,350711,562902,13428,549474,536046,662676,1870,660806,658936,1235827,7561,1228266,1220705,1287006,2478,1284528,1282050,1447092,25338,1421754,1396416,1516122,100809,1415313,1314504,1190947,58662,1132285,1073623,1844225,255419,1588806,1333387,1490924,218244,1272680,1054436,1236712,419656,817056,397400,6888549,5346658,1541891,-3804767,5219506,2349924,2869582,519658,3152832,1658021,1494811,-163210,3617936,1683662,1934274,250612,2457055,808251,1648804,840553,2819178,1591939,1227239,-364700,13689580,1999620,11689960,9690340,8460609,3094827,5365782,2270955,23439883,5432356,18007527,12575171,33943985,2129694,31814291,29684597,1094260,406940,687320,280380
Ukraine (Ukrainian S.S.R.),0,0,0,0,26175,20000,6175,-13825,2366448,1056808,1309640,252832,36243118,36243118,0,-36243118,61066307,60826312,239995,-60586317,17948134,17046118,902016,-16144102,13551234,11948319,1602915,-10345404,5697116,5443658,253458,-5190200,22074185,19137621,2936564,-16201057,80046592,79888783,157809,-79730974,90856938,89217928,1639010,-87578918,115306222,114993543,312679,-114680864,126386212,126003028,383184,-125619844,114808361,114255129,553232,-113701897,71258280,69645114,1613166,-68031948,50046836,47456797,2590039,-44866758,22271962,18693717,3578245,-15115472,61986945,56817950,5168995,-51648955,180563868,177557853,3006015,-174551838,18577205,14473682,4103523,-10370159,15578541,10940665,4637876,-6302789,13357441,7601842,5755599,-1846243,65185029,61944426,3240603,-58703823,63337889,60104959,3232930,-56872029,133629451,131490611,2138840,-129351771,213720647,211764159,1956488,-209807671,133000605,130444855,2555750,-127889105,374285108,365135304,9149804,-355985500,277184928,272397577,4787351,-267610226,180664717,176511564,4153153,-172358411,131462812,126085521,5377291,-120708230,16933995,15414043,1519952,-13894091,10237177,9078184,1158993,-7919191,31757701,29695590,2062111,-27633479,15265590,10105343,5160247,-4945096,9666231,2381402,7284829,4903427
"United Arab Emirates, N.E.S.",329887602,265190294,64697308,-200492986,369308844,258765417,110543427,-148221990,402009171,252319146,149690025,-102629121,346059930,215869447,130190483,-85678964,278578579,173468103,105110476,-68357627,423875545,299920910,123954635,-175966275,495245850,352259878,142985972,-209273906,368381201,246319965,122061236,-124258729,405226608,341145471,64081137,-277064334,956099617,877164894,78934723,-798230171,702540232,605770542,96769690,-509000852,465161445,368492551,96668894,-271823657,579789690,477273116,102516574,-374756542,207027724,100353674,106674050,6320376,334356557,216400140,117956417,-98443723,511257478,346584488,164672990,-181911498,1471030739,1267905374,203125365,-1064780009,1590843472,1331322925,259520547,-1071802378,1006007682,785332051,220675631,-564656420,1606141122,1377219496,228921626,-1148297870,1947758182,1729570629,218187553,-1511383076,2164986308,1944765501,220220807,-1724544694,1370833848,1068474106,302359742,-766114364,1212299416,847391492,364907924,-482483568,834499277,521377400,313121877,-208255523,893113790,583531201,309582589,-273948612,1489229603,831202020,658027583,-173174437,2124873232,1706862379,418010853,-1288851526,1733274650,1333611272,399663378,-933947894,705858090,427519147,278338943,-149180204,1016098221,748443971,267654250,-480789721,1849415262,1533640117,315775145,-1217864972,1880073325,1538107124,341966201,-1196140923,1833034965,1442630139,390404826,-1052225313,1934765431,1470373403,464392028,-1005981375,709062421,575576872,133485549,-442091323
Oman,1379301,41441,1337860,1296419,1667440,1836,1665604,1663768,2102664,261990,1840674,1578684,26239558,24166916,2072642,-22094274,88906946,85224332,3682614,-81541718,177150273,171569995,5580278,-165989717,201871741,200069587,1802154,-198267433,161857796,159782980,2074816,-157708164,128943267,127062317,1880950,-125181367,215859923,214070185,1789738,-212280447,249014589,246328533,2686056,-243642477,217580667,216399606,1181061,-215218545,28316353,25714769,2601584,-23113185,1848161,357366,1490795,1133429,2234165,672713,1561452,888739,1711302,200582,1510720,1310138,2198630,136403,2062227,1925824,5884288,2187469,3696819,1509350,84949404,82221838,2727566,-79494272,54022314,51100582,2921732,-48178850,28605216,2685731,25919485,23233754,20529932,16837550,3692382,-13145168,59230512,44518484,14712028,-29806456,14435772,8480574,5955198,-2525376,10941217,6140466,4800751,-1339715,32790653,25286981,7503672,-17783309,58397021,44558073,13838948,-30719125,85285601,78098919,7186682,-70912237,83924143,70947369,12976774,-57970595,31814101,19470117,12343984,-7126133,150703578,143315069,7388509,-135926560,16102845,9355135,6747710,-2607425,110389928,105920135,4469793,-101450342,53360081,36118497,17241584,-18876913,262395515,245298443,17097072,-228201371,108680290,104004885,4675405,-99329480
Qatar,88519252,88140550,378702,-87761848,73439077,73048587,390490,-72658097,26586026,26143982,442044,-25701938,20821318,20079678,741640,-19338038,14521765,13387772,1133993,-12253779,44146973,42323473,1823500,-40499973,68679942,67053945,1625997,-65427948,23322623,22577853,744770,-21833083,34751110,33790984,960126,-32830858,176560926,174587096,1973830,-172613266,150709546,148296317,2413229,-145883088,153698079,151396966,2301113,-149095853,132403700,127035532,5368168,-121667364,173257848,165086740,8171108,-156915632,285043160,273448115,11595045,-261853070,48706095,34723580,13982515,-20741065,342727610,309380249,33347361,-276032888,202377585,178287496,24090089,-154197407,601579355,589616684,11962671,-577654013,479616317,401011566,78604751,-322406815,332822257,313742298,19079959,-294662339,693516383,665363336,28153047,-637210289,1047718216,1027151294,20566922,-1006584372,652359321,629684784,22674537,-607010247,464878410,440212749,24665661,-415547088,246541811,220915880,25625931,-195289949,431781220,399457766,32323454,-367134312,414537130,377516201,37020929,-340495272,214021246,156609091,57412155,-99196936,232889334,187696771,45192563,-142504208,224479210,177923000,46556210,-131366790,599392772,540006680,59386092,-480620588,454334338,399617956,54716382,-344901574,429940413,355716590,74223823,-281492767,396920157,293680753,103239404,-190441349,46386322,25676008,20710314,-4965694
"Yemen, Republic of",30558,0,30558,30558,216394,0,216394,216394,119781,0,119781,119781,899075,793194,105881,-687313,198592,6000,192592,186592,470725,2128,468597,466469,999741,553190,446551,-106639,722492,71290,651202,579912,650180,0,650180,650180,1441249,881198,560051,-321147,21623326,20563721,1059605,-19504116,68517880,67694866,823014,-66871852,70259614,68587174,1672440,-66914734,384540,3358,381182,377824,763842,0,763842,763842,696916,0,696916,696916,2557611,1537,2556074,2554537,958696,1577,957119,955542,6476758,638,6476120,6475482,3028229,9704,3018525,3008821,6673345,0,6673345,6673345,6388628,41349,6347279,6305930,126928223,118444182,8484041,-109960141,4932426,564210,4368216,3804006,2952873,5881,2946992,2941111,2376627,165077,2211550,2046473,744432,5697,738735,733038,2121690,37005,2084685,2047680,5073761,0,5073761,5073761,4378106,0,4378106,4378106,4566996,1473,4565523,4564050,819886,6959,812927,805968,2696380,58,2696322,2696264,481601,1319,480282,478963,151973,9120,142853,133733,61490,0,61490,61490
